url,start_s,end_s,score,frame_ms,window_s,stride_s,bandwidth_z,flatness_z,flux_z,crest_db,hf_ratio,dynrange_z,tonality_z,loudness_dbfs,notes,fp_type,fp_bands,fp_hop_s,fp_offset_s,fp_bins_hex
file://D:\Development\Sonar-Web\SonarVid\04 - Chapter 3.m4b,2971.200,2974.208,22.155,23,3.0,0.2,5.35,50.90,1.13,15.0,0.862,-0.96,-50.90,-26.6,"",bandpeak_v1,32,0.02133,2.000,00000004030303030105030d0206060606030303030303010303030202020202030202010116010403010303040101140a0a0a080503030302021b19010606010105030303030303030102020202020a020101011b1d1e1e03031913171414161618020402020403011c01010402060503030202020303030505040b020203030303030202020202020202020202010404060203030301141305050503030303030303030202020205050503030300000203020403010103030101030303020202010202020209030312030303111203050303030303021f1b1c1a010105060606060301011c060101
file://D:\Development\Sonar-Web\SonarVid\04 - Chapter 3.m4b,2992.896,2995.904,20.553,23,3.0,0.2,5.05,47.13,-0.32,15.0,0.876,2.39,-47.13,-35.3,"",bandpeak_v1,32,0.02133,2.000,00000004030303030105030d0206060606030303030303010303030202020202030202010116010403010303040101140a0a0a080503030302021b19010606010105030303030303030102020202020a020101011b1d1e1e03031913171414161618020402020403011c01010402060503030202020303030505040b020203030303030202020202020202020202010404060203030301141305050503030303030303030202020205050503030300000203020403010103030101030303020202010202020209030312030303111203050303030303021f1b1c1a010105060606060301011c060101
file://D:\Development\Sonar-Web\SonarVid\04 - Chapter 3.m4b,3029.760,3032.768,21.241,23,3.0,0.2,5.79,48.94,-0.53,14.9,0.971,0.94,-48.94,-34.6,"",bandpeak_v1,32,0.02133,2.000,00000004030303030105030d0206060606030303030303010303030202020202030202010116010403010303040101140a0a0a080503030302021b19010606010105030303030303030102020202020a020101011b1d1e1e03031913171414161618020402020403011c01010402060503030202020303030505040b020203030303030202020202020202020202010404060203030301141305050503030303030303030202020205050503030300000203020403010103030101030303020202010202020209030312030303111203050303030303021f1b1c1a010105060606060301011c060101
file://D:\Development\Sonar-Web\SonarVid\Fuck You - Lily Allen (Lyrics).mp3,1.344,4.352,219.623,23,3.0,0.2,-1.86,530.29,-5.33,12.3,0.000,112.45,-530.27,-120.0,"",bandpeak_v1,32,0.02133,2.000,00000000000000000000000000000000000000000000000000000000000000000000000000000000001913020202020202020204050505030503030303030303030303030303030304040505050505050505050505050d05050d0d0508080405050505050505050505080808080808080808080804050505050505050505050d0d0d020202020202020404050505050505050505040404050505050505050504050505050505050505050505050505050d0d0d0d0404050505050505050505050505050504040505050504050505050505050505050d07070202020202020202040505050505050505
file://D:\Development\Sonar-Web\SonarVid\Fuck You - Lily Allen (Lyrics).mp3,9.792,21.440,11.006,23,3.0,0.2,5.72,22.41,-1.89,13.4,0.919,3.59,-22.41,-21.4,"",bandpeak_v1,32,0.02133,2.000,00000000000000000000000000000000000000000000000000000000000000000000000000000000001913020202020202020204050505030503030303030303030303030303030304040505050505050505050505050d05050d0d0508080405050505050505050505080808080808080808080804050505050505050505050d0d0d020202020202020404050505050505050505040404050505050505050504050505050505050505050505050505050d0d0d0d0404050505050505050505050505050504040505050504050505050505050505050d07070202020202020202040505050505050505
file://D:\Development\Sonar-Web\SonarVid\Fuck You - Lily Allen (Lyrics).mp3,62.016,70.016,9.564,23,3.0,0.2,5.50,18.77,0.98,13.1,0.830,-0.54,-18.77,-16.0,"",bandpeak_v1,32,0.02133,2.000,00000000000000000000000000000000000000000000000000000000000000000000000000000000001913020202020202020204050505030503030303030303030303030303030304040505050505050505050505050d05050d0d0508080405050505050505050505080808080808080808080804050505050505050505050d0d0d020202020202020404050505050505050505040404050505050505050504050505050505050505050505050505050d0d0d0d0404050505050505050505050505050504040505050504050505050505050505050d07070202020202020202040505050505050505
file://D:\Development\Sonar-Web\SonarVid\Fuck You - Lily Allen (Lyrics).mp3,81.600,84.608,8.492,23,3.0,0.2,5.37,17.58,-0.76,13.1,0.665,0.81,-17.58,-17.5,"",bandpeak_v1,32,0.02133,2.000,00000000000000000000000000000000000000000000000000000000000000000000000000000000001913020202020202020204050505030503030303030303030303030303030304040505050505050505050505050d05050d0d0508080405050505050505050505080808080808080808080804050505050505050505050d0d0d020202020202020404050505050505050505040404050505050505050504050505050505050505050505050505050d0d0d0d0404050505050505050505050505050504040505050504050505050505050505050d07070202020202020202040505050505050505
file://D:\Development\Sonar-Web\SonarVid\Fuck You - Lily Allen (Lyrics).mp3,96.384,99.392,10.132,23,3.0,0.2,5.69,20.49,-0.24,13.3,0.771,0.57,-20.49,-17.6,"",bandpeak_v1,32,0.02133,2.000,00000000000000000000000000000000000000000000000000000000000000000000000000000000001913020202020202020204050505030503030303030303030303030303030304040505050505050505050505050d05050d0d0508080405050505050505050505080808080808080808080804050505050505050505050d0d0d020202020202020404050505050505050505040404050505050505050504050505050505050505050505050505050d0d0d0d0404050505050505050505050505050504040505050504050505050505050505050d07070202020202020202040505050505050505
file://D:\Development\Sonar-Web\SonarVid\Fuck You - Lily Allen (Lyrics).mp3,131.712,134.720,11.690,23,3.0,0.2,5.48,25.49,0.51,13.0,0.592,-0.80,-25.49,-15.2,"",bandpeak_v1,32,0.02133,2.000,00000000000000000000000000000000000000000000000000000000000000000000000000000000001913020202020202020204050505030503030303030303030303030303030304040505050505050505050505050d05050d0d0508080405050505050505050505080808080808080808080804050505050505050505050d0d0d020202020202020404050505050505050505040404050505050505050504050505050505050505050505050505050d0d0d0d0404050505050505050505050505050504040505050504050505050505050505050d07070202020202020202040505050505050505
file://D:\Development\Sonar-Web\SonarVid\Fuck You - Lily Allen (Lyrics).mp3,146.304,160.832,12.520,23,3.0,0.2,5.40,28.85,-2.96,12.9,0.905,-0.66,-28.85,-20.3,"",bandpeak_v1,32,0.02133,2.000,00000000000000000000000000000000000000000000000000000000000000000000000000000000001913020202020202020204050505030503030303030303030303030303030304040505050505050505050505050d05050d0d0508080405050505050505050505080808080808080808080804050505050505050505050d0d0d020202020202020404050505050505050505040404050505050505050504050505050505050505050505050505050d0d0d0d0404050505050505050505050505050504040505050504050505050505050505050d07070202020202020202040505050505050505
